Numéro;Titre;Lien;Bloc;Ordre
S0;Homogénéité et incertitudes;https://youtube.com/playlist?list=PLEABsk5Xlyk4xkp9D2tkHUFlQXOvNqofb;Outils transversaux;0
S1;Optique géométrique;https://youtube.com/playlist?list=PLEABsk5Xlyk55tHiTaS2RQT_9vICbHHw0;Optique;1
S2;Lentilles minces dans l’approximation de Gauss;https://youtube.com/playlist?list=PLEABsk5Xlyk4E5KMpDlhMFYST-GJDf_RI;Optique;2
S3;Circuits électriques dans le cadre de l’Approximation des Régimes Quasi-Stationnaires (ARQS);https://youtube.com/playlist?list=PLEABsk5Xlyk7SRk1J5RxF_B3YucQqwtiQ;Electricité;3
S4;Circuits du premier ordre;https://youtube.com/playlist?list=PLEABsk5Xlyk523c7k20GeLjZ7beKRwT-q;Electricité;4
S5;Oscillateurs amortis, régime libre;https://youtube.com/playlist?list=PLEABsk5Xlyk6G4kK1KEUtUIt09DmFaK-6;Electricité & Mécanique;5
S6;Oscillateur harmonique;https://youtube.com/playlist?list=PLEABsk5Xlyk7bLoHb0aPJQ5MGWVMe6GiU;Electricité & Mécanique;6
S7;Oscillateurs amortis, régime sinusoïdal forcé;https://youtube.com/playlist?list=PLEABsk5Xlyk5ePc0H28ULaeZX6lVuDNNA;Electricité & Mécanique;15
S8;Filtrage linéaire;https://youtube.com/playlist?list=PLEABsk5Xlyk41LJjWz2H9RIC5QIwLxuhg;Electricité & Mécanique;16
S9;Propagation de signaux;https://youtube.com/playlist?list=PLEABsk5Xlyk4yvV6EGjK4QeJWQbVJKijB;Phénomènes ondulatoires;29
S10;Superposition de signaux;https://youtube.com/playlist?list=PLEABsk5Xlyk5EiIGZgF1VT27p5RvXIF_m;Phénomènes ondulatoires;30
S11;Introduction au monde quantique;https://youtube.com/playlist?list=PLEABsk5Xlyk4SpWlbljzrws9fRPSu3Sdk;Phénomènes ondulatoires;31
M0;Notions de base sur les vecteurs;https://youtube.com/playlist?list=PLEABsk5Xlyk4Fszzl3STe72_xSAmhrKRm;Mécanique;7
M1;Cinématique;https://youtube.com/playlist?list=PLEABsk5Xlyk7jrWxupPxHJ2AwC3GvlfSk;Mécanique;8
M2;Relation fondamentale de la dynamique;https://youtube.com/playlist?list=PLEABsk5Xlyk5JS5M6sUHtxZgVVxuVyxwA;Mécanique;9
M3;Approche énergétique du mouvement d’un point matériel;https://youtube.com/playlist?list=PLEABsk5Xlyk7IYarRLn6vv5EOtiUs6xRD;Mécanique;10
M4;Systèmes à un degré de liberté et oscillateurs;https://youtube.com/playlist?list=PLEABsk5Xlyk557tmG_CM1h_l7TCgpINct;Mécanique;11
M5;Mouvement de particules chargées;https://youtube.com/playlist?list=PLEABsk5Xlyk77Z9nvBMcijPdaVEcXbCEz;Mécanique;12
M6;Mouvement d’un solide autour d’un axe fixe, théorème du moment cinétique;https://youtube.com/playlist?list=PLEABsk5Xlyk7CAsYoyWA3dqLVSVxu57_W;Mécanique;13
M7;Mouvement dans un champ de force centrale conservatif;https://youtube.com/playlist?list=PLEABsk5Xlyk6z6ySZ09rEZdIJb5LGvap3;Mécanique;14
I1;Champ magnétique;https://youtube.com/playlist?list=PLEABsk5Xlyk7B5DCqEb0rH2UvpU1UkorR;Induction;17
I2;Forces de Laplace;https://youtube.com/playlist?list=PLEABsk5Xlyk6RhVLY3Mr690Rk122IqbsW;Induction;18
I3;Loi de Faraday;https://youtube.com/playlist?list=PLEABsk5Xlyk62aM1MOHClVxvNcqgCsUtO;Induction;19
I4;Circuit mobile dans un champ stationnaire;https://youtube.com/playlist?list=PLEABsk5Xlyk7VKfM6scWg5PKUxlLUCaxt;Induction;20
I5;Circuit fixe dans un champ variable ;https://youtube.com/playlist?list=PLEABsk5Xlyk5OhMn3ZsopsAKc5sKcb1QC;Induction;21
T0;Statique des fluides;https://youtube.com/playlist?list=PLEABsk5Xlyk6ZfBk_5ixZTHR0R0YfgqJY;Thermodynamique;22
T1;Approche microscopique et macroscopique d’un système à l’équilibre;https://youtube.com/playlist?list=PLEABsk5Xlyk7Sz6mz3ohgScGDw9f04Vdy;Thermodynamique;23
T2;Gaz réels, phases condensées et changement d’état;https://youtube.com/playlist?list=PLEABsk5Xlyk5ME9QkD3PGimsa4-gnkXij;Thermodynamique;24
T3;Energie échangée par un système lors d’une transformation;https://youtube.com/playlist?list=PLEABsk5Xlyk7CnNpi1KGVgKaSpbZuuTMH;Thermodynamique;25
T4;Premier principe de la thermodynamique, bilans d’énergie;https://youtube.com/playlist?list=PLEABsk5Xlyk5PwCeDba5mVBRdqfhEdMCE;Thermodynamique;26
T5;Deuxième principe de la thermodynamique, bilans d’entropie;https://youtube.com/playlist?list=PLEABsk5Xlyk4CbklDxy1BXTRyz8VAEd2C;Thermodynamique;27
T6;Machines thermiques;https://youtube.com/playlist?list=PLEABsk5Xlyk5ry2pAyBgWOcmGWKmYBWqs;Thermodynamique;28
